N°Ins,Code_UE,credit_obtenu,Moy_UE,Aquit,exclu_ue
14010696449,UEF22,3.0,6.94,false,false
14010696449,MG7,11.0,7.95,false,false
14010696449,MG8,4.0,2.65,false,false
14010696449,MG9,0.0,0.00,false,false
14010696449,MG10,0.0,0.00,false,false
14010696449,MG11,4.0,3.93,false,false
14010696449,MG12,0.0,0.00,false,false
14010696450,UEF11,6.0,4.00,false,false
14010696450,UED,3.0,4.50,false,false
14010696450,UEIN1,9.0,6.57,false,false
14010696450,UEIN2,0.0,0.00,false,false
14010696450,UEIN3,0.0,0.00,false,false
14010696450,UEIN4,5.0,3.24,false,false
14010696450,UEIN5,4.0,3.50,false,false
14010696434,TRX,0.0,5.95,false,false
14010696434,REOP,3.5,7.41,false,false
14010696434,ALOG,3.0,8.43,false,false
14010696437,TRX,0.0,0.00,false,false
14010696437,REOP,0.0,0.00,false,false
14010696437,ALOG,0.0,0.00,false,false
14010696437,UDE,0.0,0.00,false,false
14010696447,TRX,6.5,10.00,false,false
14010696447,REOP,9.5,10.03,false,false
14010696447,ALOG,5.5,9.60,false,false
14010696447,UDE,2.5,13.00,false,false
14010696498,TRX,6.5,11.18,false,false
14010696498,REOP,6.0,9.95,false,false
14010696498,ALOG,3.0,6.70,false,false
14010696505,TRX,0.0,7.97,false,false
14010696505,REOP,3.5,7.54,false,false
14010696505,ALOG,3.0,7.11,false,false
14010696505,UDE,0.0,6.00,false,false
14010796545,TRX,6.5,10.49,false,false
14010796545,REOP,9.5,10.01,false,false
14010796545,ALOG,6.5,9.80,false,false
14010796545,UDE,2.5,10.50,false,false
14010796545,UTE,2.5,10.00,false,false
14010796567,TRX,6.5,12.19,false,false
14010796567,REOP,9.5,10.85,false,false
14010796567,ALOG,3.0,8.16,false,false
14010796569,TRX,6.5,10.77,false,false
14010696456,UEIN1,4.0,2.86,false,false
14010696456,UEIN2,4.0,4.10,false,false
14010696456,UEIN4,5.0,3.14,false,false
14010696456,UEIN5,4.0,3.37,false,false
14010696459,UE13,0.0,0.00,false,false
14010696459,UE14,0.0,0.00,false,false
14010696459,UE15,0.0,0.00,false,false
