N°Ins,Année,Code_UE,UE,Coef_UE,credit_UE,AnnéEtude,type_UE,Moy_UE,credit_obtenue,Aquit,An_d_obtent_UE
14010696447,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,10.45,16.0,true,2009
14010696447,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,9.54,8.0,false,2009
14010696447,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,10.00,2.0,true,2007
14010696449,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,8.23,6.0,false,2008
14010696449,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,8.99,3.0,false,2008
14010696449,1,UEM ,Unite ensgnement methodo,3,6.0,1MIAS171,Transversal,14.00,6.0,true,2007
14010696449,1,UEF22,Unite fondamentale 22,2,12.0,1MIAS172,Fondamental,5.07,3.0,false,2009
14010696449,1,UEF21,Unite Fondamentale 21,2,12.0,1MIAS172,Fondamental,10.77,12.0,true,2009
14010696449,1,UED23,Unite decouverte 23 ,1,4.0,1MIAS172,Découverte,10.17,6.0,true,2007
14010696450,1,UEF11,Unite enseignement fondamental,5,15.0,1MIAS171,Fondamental,4.00,6.0,false,2009
14010696450,1,UED,Unite enseignement decouverte ,3,9.0,1MIAS171,Découverte,4.50,3.0,false,2009
14010696450,1,UEM ,Unite ensgnement methodo,3,6.0,1MIAS171,Transversal,12.00,6.0,true,2006
14010696450,1,UEF22,Unite fondamentale 22,4,12.0,1MIAS172,Fondamental,10.07,12.0,true,2007
14010696450,1,UEF21,Unite Fondamentale 21,4,12.0,1MIAS172,Fondamental,9.17,8.0,false,2007
14010696450,1,UED23,Unite decouverte 23 ,2,4.0,1MIAS172,Découverte,12.17,4.0,true,2006
14010696450,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,6.57,9.0,false,2009
14010696450,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,0.00,0.0,false,2009
14010696450,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,0.00,0.0,false,2009
14010696450,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,5.64,5.0,false,2009
14010696450,2,UEIN5,UE Fondamental-INF5,6,12.0,2MIAS174,Fondamental,3.50,4.0,false,2009
14010696450,2,UEIN6,UE Méthodologique-INF6,1,2.0,2MIAS174,Méthodologique,10.00,2.0,true,2007
14010796560,3,UE16,Projet PFE,2,20.0,3MIAS176,Fondamental,0.00,0.0,false,2009
14010796586,2,UEIN1,UE Fondamental -INF1,7,14.0,2MIAS173,Fondamental,12.27,14.0,true,2009
14010796586,2,UEIN2,UE Fondamental-INF2,6,12.0,2MIAS173,Fondamental,11.32,12.0,true,2009
14010796586,2,UEIN3,UE Méthodologique-INF3,2,4.0,2MIAS173,Méthodologie,16.00,4.0,true,2009
14010796586,2,UEIN4,UE Fondamental-INF4,8,16.0,2MIAS174,Fondamental,10.86,16.0,true,2009
