N°Ins,Réf_Cours,examen,rattrapage,Conference,seminaire,TD,TP,stage,Projet,autre_Ctl,Moy_CC,Moy_Module,Aquit,Option,ratt,exclu_matière,scholar_year
14010696401,ARCH,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,ALGO,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,SI,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,AN,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,P-S,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,L-M,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,ANG,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,ITM,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,Algo2,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,B-D,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,SD,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,T-L,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,P-L,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,G-L,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696401,ANG2,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696402,Mecaq,,15,,,3,,,,,3.0,10.92,false,false,true,false,2010
14010696402,Elect,,9,,,5,,,,,0.0,7.64,false,false,true,false,2010
14010696402,Comp,9.5,,,,10,12,,,,6.0,10.25,false,false,false,false,2010
14010696402,crypt,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696402,DIG,12.5,,,,,,,,,4.0,12.50,false,true,false,false,2010
14010696402,I G C,,,,,,,,,,0.0,0.00,false,false,false,false,2010
14010696402,P_Log,11,,,,8,,,,,0.0,9.98,false,false,false,false,2010
14010696402,RES,9,,,,6,,,,,0.0,7.98,false,false,false,false,2010
14010696402,SYS E,4,,,,,13,,,,0.0,5.25,false,false,false,false,2010
14010696402,Th_Gr,12,,,,7,,,,,4.0,10.30,false,false,false,false,2010
14010696402,BDD-A,0,,,,,,,,,0.0,0.00,false,false,false,false,2010
