N°Ins,Code_UE,credit_obtenu,Moy_UE,Aquit,exclu_ue
14010696434,UE13,12.0,9.00,false,false
14010696434,UE14,12.0,12.01,false,false
14010696434,UE15,10.0,10.25,false,false
14010696449,UEF22,3.0,6.15,false,false
14010696449,MG7,11.0,7.95,false,false
14010696449,MG8,4.0,2.65,false,false
14010696449,MG9,0.0,0.00,false,false
14010696449,MG10,0.0,0.00,false,false
14010696449,MG11,4.0,3.93,false,false
14010696449,MG12,0.0,0.00,false,false
14010696450,UEF11,6.0,4.00,false,false
14010696450,UED,3.0,4.50,false,false
14010696450,UEIN1,9.0,6.57,false,false
14010696450,UEIN2,0.0,0.00,false,false
14010696450,UEIN3,0.0,0.00,false,false
14010696450,UEIN4,5.0,3.24,false,false
14010696450,UEIN5,4.0,3.50,false,false
14010696437,UE13,6.0,6.84,false,false
14010696437,UE14,12.0,12.29,false,false
14010696437,UE15,5.0,7.50,false,false
14010696437,UE16,20.0,15.00,false,false
14010696447,UE13,6.0,8.36,false,false
14010696447,UE14,12.0,11.42,false,false
14010696447,UE15,5.0,7.50,false,false
14010696447,UE16,20.0,13.50,false,false
14010696498,UE13,12.0,9.66,false,false
14010696498,UE14,12.0,13.71,false,false
14010696498,UE15,5.0,8.00,false,false
14010696498,UE16,20.0,18.00,false,false
14010696505,UE13,6.0,8.35,false,false
14010696505,UE14,12.0,10.33,false,false
14010696505,UE15,5.0,6.00,false,false
14010696505,UE16,20.0,16.00,false,false
14010796545,UE13,6.0,8.20,false,false
14010796545,UE14,12.0,11.67,false,false
14010796545,UE15,5.0,5.50,false,false
14010796545,UE16,20.0,18.00,false,false
14010796567,UE13,6.0,9.53,false,false
14010796567,UE14,12.0,11.57,false,false
14010796567,UE15,5.0,7.69,false,false
14010796567,UE16,20.0,16.50,false,false
14010796569,UE13,0.0,8.01,false,false
14010696456,UEIN1,4.0,2.86,false,false
14010696456,UEIN2,4.0,4.10,false,false
14010696456,UEIN4,5.0,3.14,false,false
14010696456,UEIN5,4.0,3.37,false,false
14010696459,UE13,0.0,0.00,false,false
14010696459,UE14,0.0,0.00,false,false
14010696459,UE15,0.0,0.00,false,false
14010696459,UE16,0.0,0.00,false,false
14010696474,UEIN1,4.0,4.76,false,false
14010696474,UEIN2,8.0,7.55,false,false
14010696474,UEIN4,11.0,9.40,false,false
14010696474,UEIN5,8.0,9.94,false,false
14010696474,UEF21,8.0,8.64,false,false
14010696474,UEF22,6.0,8.75,false,false
14010796569,UE14,12.0,13.18,false,false
14010796569,UE15,5.0,8.00,false,false
14010796569,UE16,20.0,15.50,false,false
14010796575,UE13,18.0,10.26,false,false
14010796575,UE14,12.0,14.45,false,false
14010796575,UE15,5.0,7.00,false,false
14010796575,UE16,20.0,16.00,false,false
14010796586,UE13,18.0,11.38,false,false
14010796586,UE14,12.0,15.43,false,false
14010796586,UE15,0.0,3.36,false,false
14010796586,UE16,20.0,16.50,false,false
14010796594,UE13,6.0,7.38,false,false
14010796594,UE14,12.0,10.56,false,false
14010796594,UE15,0.0,6.50,false,false
14010796594,UE16,20.0,15.50,false,false
14010796598,UE13,6.0,8.39,false,false
14010796598,UE14,12.0,13.78,false,false
14010796598,UE15,5.0,8.00,false,false
14010796598,UE16,20.0,16.00,false,false
14010796606,UEIN1,0.0,0.00,false,false
14010796606,UEIN2,0.0,0.00,false,false
14010796606,UEIN3,0.0,0.00,false,false
14010796606,UEIN4,0.0,0.00,false,false
14010796606,UEIN5,0.0,0.00,false,false
14010796606,UEIN6,0.0,0.00,false,false
14010796643,UE13,6.0,8.35,false,false
14010796643,UE14,12.0,12.40,false,false
14010696481,UE13,12.0,9.44,false,false
14010696481,UE15,10.0,10.50,false,false
14010696484,UEF11,0.0,3.10,false,false
14010696484,UED,6.0,7.12,false,false
14010696484,UEIN4,5.0,3.44,false,false
14010696484,UEIN5,4.0,3.42,false,false
14010696492,UEF11,12.0,9.77,false,false
14010696492,UED,3.0,3.89,false,false
14010696492,UEIN1,9.0,9.62,false,false
14010696492,UEM ,3.0,5.75,false,false
14010696492,UEIN2,4.0,6.76,false,false
14010696492,UEIN3,0.0,7.75,false,false
14010696492,UEIN4,11.0,9.00,false,false
14010696492,UEIN5,4.0,7.87,false,false
14010696492,UEIN6,2.0,15.00,false,false
14010796643,UE15,5.0,8.50,false,false
14010796643,UE16,20.0,14.00,false,false
14010796644,UE13,6.0,9.05,false,false
14010796644,UE14,12.0,11.66,false,false
14010796644,UE15,10.0,11.00,false,false
14010796644,UE16,20.0,17.00,false,false
14010796647,UE13,0.0,5.76,false,false
14010796647,UE14,0.0,5.52,false,false
14010796647,UE15,0.0,0.00,false,false
14010796647,UE16,0.0,0.00,false,false
14010796651,UE13,6.0,9.35,false,false
14010796651,UE14,12.0,11.13,false,false
14010796651,UE15,0.0,7.75,false,false
14010796651,UE16,20.0,15.00,false,false
14010796671,UE13,0.0,7.30,false,false
14010796671,UE14,12.0,10.40,false,false
14010796671,UE15,0.0,7.00,false,false
14010796671,UE16,20.0,15.75,false,false
14010896694,MG7,0.0,0.00,false,false
14010896694,MG8,0.0,0.00,false,false
14010896694,MG9,0.0,0.00,false,false
14010896694,MG10,0.0,0.00,false,false
14010896694,MG11,0.0,0.00,false,false
14010896694,MG12,0.0,0.00,false,false
14010896695,UE13,0.0,6.63,false,false
14010896695,UE14,12.0,12.05,false,false
14010896695,UE15,5.0,9.25,false,false
14010696518,UE13,0.0,0.00,false,false
14010696518,UE14,0.0,0.00,false,false
14010696518,UE15,0.0,0.00,false,false
14010696518,UE16,0.0,0.00,false,false
14010896695,UE16,20.0,16.37,false,false
14010896700,UE13,0.0,8.42,false,false
