id_student,id_course,average,scholar_year,current_year,study_level,id_branch,status,currentYear
14010696474,ALGO,7.63,2012,2,MIAS,17,Ajourné,2010
14010696474,Algo2,4.59,2010,2,MIAS,17,Ajourné,2010
14010696474,ALGO,7.63,2012,2,MIAS,17,Ajourné,2011
14010696474,Algo2,4.59,2010,2,MIAS,17,Ajourné,2011
14010696474,ALGO,7.63,2012,2,MIAS,17,Admis,2012
14010696474,Algo2,4.59,2010,2,MIAS,17,Admis,2012
14010696474,ALGO,7.63,2012,3,MIAS,17,Admis,2013
14010696474,Algo2,4.59,2010,3,MIAS,17,Admis,2013
14010696474,ALGO,7.63,2012,1,MGI,19,Ajourné,2014
14010696474,Algo2,4.59,2010,1,MGI,19,Ajourné,2014
14010696492,ALGO,6.19,2010,2,MIAS,17,Ajourné,2010
14010696492,ALGO,3.19,2011,2,MIAS,17,Ajourné,2010
14010696492,ALGO,3.19,2012,2,MIAS,17,Ajourné,2010
14010696492,Algo2,6,2010,2,MIAS,17,Ajourné,2010
14010696492,Algo2,3,2011,2,MIAS,17,Ajourné,2010
14010696492,Algo2,3,2012,2,MIAS,17,Ajourné,2010
14010696492,ALGO,6.19,2010,2,MIAS,17,Ajourné,2011
14010696492,ALGO,3.19,2011,2,MIAS,17,Ajourné,2011
14010696492,ALGO,3.19,2012,2,MIAS,17,Ajourné,2011
14010696492,Algo2,6,2010,2,MIAS,17,Ajourné,2011
14010696492,Algo2,3,2011,2,MIAS,17,Ajourné,2011
14010696492,Algo2,3,2012,2,MIAS,17,Ajourné,2011
14010696492,ALGO,6.19,2010,2,MIAS,17,Ajourné,2012
14010696492,ALGO,3.19,2011,2,MIAS,17,Ajourné,2012
14010696492,ALGO,3.19,2012,2,MIAS,17,Ajourné,2012
14010696492,Algo2,6,2010,2,MIAS,17,Ajourné,2012
14010696492,Algo2,3,2011,2,MIAS,17,Ajourné,2012
14010696492,Algo2,3,2012,2,MIAS,17,Ajourné,2012
14010696529,Algo2,4.75,2010,2,MIAS,17,Ajourné,2010
14010696529,Algo2,3.75,2011,2,MIAS,17,Ajourné,2010
14010696529,Algo2,4.75,2010,2,MIAS,17,Ajourné,2011
