N°Ins,Réf_Cours,examen,rattrapage,Conference,seminaire,TD,TP,stage,Projet,autre_Ctl,Moy_CC,Moy_Module,Aquit,Option,ratt,exclu_matière,2015
14011599309,AGR,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,APN,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,BDD,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,ELE,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,LIA,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,MFO,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,MOM,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,ORO,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,RET,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,SBC,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,SED,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,SEW,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,ANGn2,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,ASSL,,,,,,,,,,0.0,0.00,false,true,false,false,2015
14011599309,APC,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,MC,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,EW,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,OWS,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,WS,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,MMTS,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14011599309,TAM,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14010796647,RBIB,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14010796647,SRW,,,,,3,11,,,,0.0,2.80,false,false,false,false,2015
14010796647,QSER,,,,,5,13,,,,0.0,3.60,false,false,false,false,2015
14010796647,PARCL,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14010796647,GSPI,,,,,13,0,,,,0.0,2.60,false,false,false,false,2015
14010796647,PFER,,,,,,,,,,0.0,0.00,false,false,false,false,2015
14010896757,RBIB,14.5,,,,,,,,,9.0,14.50,false,false,false,false,2015
