N°Ins,Code_UE,credit_obtenu,Moy_UE,Aquit,exclu_ue
14010696449,UEF22,3.0,3.42,false,false
14010696449,MG7,11.0,7.95,false,false
14010696449,MG8,4.0,2.65,false,false
14010696449,MG9,0.0,0.00,false,false
14010696449,MG10,0.0,0.00,false,false
14010696449,MG11,4.0,3.93,false,false
14010696449,MG12,0.0,0.00,false,false
14010696434,TRX,3.5,8.03,false,false
14010696434,REOP,3.5,9.09,false,false
14010696434,ALOG,9.0,11.93,false,false
14010696437,TRX,0.0,0.00,false,false
14010696437,REOP,0.0,0.00,false,false
14010696437,ALOG,0.0,0.00,false,false
14010696437,UDE,0.0,0.00,false,false
14010696498,REOP,6.0,9.95,false,false
14010696498,ALOG,3.0,7.05,false,false
14010696505,TRX,6.5,10.50,false,false
14010696505,REOP,6.0,9.08,false,false
14010696505,ALOG,9.0,10.01,false,false
14010696505,UDE,2.5,10.00,false,false
14010696447,QSR,0.0,7.98,false,false
14010696447,UEMR,14.5,12.90,false,false
14010696447,UPFR,30.0,15.53,false,false
14010696498,QSR,15.5,10.07,false,false
14010696498,UEMR,14.5,14.67,false,false
14010696498,UPFR,30.0,15.33,false,false
14010696540,ANG,2.5,16.00,false,false
14010696540,BSE,0.0,9.80,false,false
14010696540,LCO,6.5,17.36,false,false
14010696540,MVS,9.0,13.98,false,false
14010696540,ROP,9.5,12.79,false,false
14010696540,ANG2,0.0,8.00,false,false
14010796545,QSR,0.0,8.48,false,false
14010796545,UEMR,14.5,13.91,false,false
14010796545,UPFR,30.0,15.07,false,false
14010796547,TRX,3.5,9.54,false,false
14010796547,REOP,0.0,7.36,false,false
14010796567,QSR,15.5,10.31,false,false
14010796567,UEMR,14.5,13.66,false,false
14010796567,UPFR,30.0,15.53,false,false
14010796569,QSR,4.5,9.41,false,false
14010796569,UEMR,14.5,14.08,false,false
14010696481,TRX,3.0,9.55,false,false
14010696481,REOP,6.0,8.97,false,false
14010796598,TRX,0.0,0.00,false,false
14010796598,REOP,0.0,0.00,false,false
14010796598,ALOG,0.0,0.00,false,false
14010796598,UDE,0.0,0.00,false,false
14010696540,HWR,3.0,10.00,false,false
14010696540,TWB,11.5,13.45,false,false
14010696540,VTI,13.0,15.59,false,false
14010796547,ALOG,9.0,10.26,false,false
14010796547,UDE,2.5,10.00,false,false
14010796547,UTE,2.5,15.00,false,false
14010796547,VTIM,13.0,10.45,false,false
14010796547,TCE,0.0,9.53,false,false
14010796547,EDP,3.0,10.60,false,false
14010796547,UET,2.5,12.00,false,false
14010796569,UPFR,30.0,11.76,false,false
14010796586,SYSDC,5.5,8.19,false,false
14010796586,UEMM,14.5,13.46,false,false
14010796586,UPFE,30.0,17.00,false,false
14010796594,QSR,4.5,8.69,false,false
14010796594,UEMR,14.5,12.38,false,false
14010796594,UPFR,30.0,13.00,false,false
14010796614,TRX,3.0,9.18,false,false
14010796614,REOP,3.5,9.90,false,false
14010796614,ALOG,9.0,10.03,false,false
14010796614,UDE,0.0,9.00,false,false
14010796614,UTE,0.0,9.00,false,false
14010796614,VTIM,13.0,11.85,false,false
14010796614,TCE,6.5,9.78,false,false
14010796614,EDP,3.0,10.60,false,false
14010796614,UET,2.5,10.00,false,false
14010796643,QSR,5.5,8.87,false,false
14010796643,UEMR,14.5,13.24,false,false
14010796643,UPFR,30.0,16.27,false,false
14010796644,QSR,15.5,11.08,false,false
14010796644,UEMR,14.5,13.61,false,false
14010796644,UPFR,30.0,13.99,false,false
14010796647,TRX,0.0,2.80,false,false
14010796647,REOP,0.0,2.88,false,false
14010796647,ALOG,0.0,2.85,false,false
14010696492,UEF11,12.0,9.25,false,false
14010696492,UED,3.0,3.89,false,false
14010696492,UEIN1,9.0,8.55,false,false
14010696492,UEM ,3.0,5.75,false,false
14010696492,UEIN2,4.0,4.23,false,false
14010696492,UEIN3,0.0,0.00,false,false
14010696492,UEIN4,11.0,8.06,false,false
14010696492,UEIN5,4.0,4.35,false,false
14010896694,MG7,0.0,0.00,false,false
14010896694,MG8,0.0,0.00,false,false
