N°Ins,Réf_Cours,examen,rattrapage,Conference,seminaire,TD,TP,stage,Projet,autre_Ctl,Moy_CC,Moy_Module,Aquit,Option,ratt,exclu_matière,scholar_year
14010696402,ARPS,,,,,,12.17,,,,0.0,4.87,false,false,false,false,2012
14010696402,RSF,,,,,,18,,,,0.0,7.20,false,false,false,false,2012
14010696402,DSE,,,,,7,,,,,0.0,2.80,false,false,false,false,2012
14010696402,AGRO,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696402,OROP,,,,,7,,,,,0.0,2.80,false,false,false,false,2012
14010696402,WEBS,,,,,,8,,,,0.0,3.20,false,false,false,false,2012
14010696402,APRC,,,,,,13,,,,0.0,5.20,false,false,false,false,2012
14010696402,BDA,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696402,ANGP,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696402,TAI,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696402,VART,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696402,MMT,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696402,TFM,,,,,,,,,,0.0,0.00,false,false,false,false,2012
14010696434,ARPS,0,12,,,,9,,,,3.5,10.80,false,false,true,false,2012
14010696434,RSF,0,,,,,12,,,,0.0,4.80,false,false,false,false,2012
14010696434,AGRO,7.5,,,,7,,,,,0.0,7.30,false,false,false,false,2012
14010696434,OROP,8.75,,,,10,,,,,0.0,9.25,false,false,false,false,2012
14010696434,WEBS,11.5,,,,,12,,,,3.5,11.70,false,false,false,false,2012
14010696434,BDA,5,14,,,,10,,,,2.5,12.40,false,false,true,false,2012
14010696447,RBIB,15.33,,,,,,,,,9.0,15.33,false,false,false,false,2012
14010696447,SRW,7,,,,12,,,,,0.0,9.00,false,false,false,false,2012
14010696447,QSER,4.5,,,,5,11,,,,0.0,5.90,false,false,false,false,2012
14010696447,PARCL,6.5,,,,13.5,,,,,0.0,9.30,false,false,false,false,2012
14010696447,GSPI,6,,,,12,15,,,,0.0,9.00,false,false,false,false,2012
14010696447,PFER,16,,,,,,,,,16.0,16.00,false,false,false,false,2012
14010696447,STRE,15,,,,,,,,,14.0,15.00,false,false,false,false,2012
14010696498,RBIB,15,,,,,,,,,9.0,15.00,false,false,false,false,2012
14010696498,SRW,9,,,,12,,,,,5.5,10.20,false,false,false,false,2012
14010696498,QSER,7.45,,,,12,11,,,,0.0,9.07,false,false,false,false,2012
14010696498,PARCL,10.25,,,,12.5,,,,,4.5,11.15,false,false,false,false,2012
