student_id,birthday,gender,nationality
14011499274,1982-04-25,M,Algérienne
14011097290,1991-05-04,M,Algérienne
14011298615,1994-02-25,F,Algérienne
14011399247,1982-01-26,F,Algérienne
14011298617,1993-09-09,F,Algérienne
14011399251,1982-02-09,F,Algérienne
14011097102,1992-04-20,F,Algérienne
14011298622,1992-11-08,F,Algérienne
14011499272,1981-10-20,M,Algérienne
14011298627,1993-07-13,M,Algérienne
14011097300,1991-06-25,M,Algérienne
14010796647,1987-05-25,M,Algérienne
14011499270,1981-03-28,M,Algérienne
14011097496,1991-02-16,M,Algérienne
14011097152,1990-06-15,M,Algérienne
14011298636,1993-01-15,F,Algérienne
14011298637,1994-01-20,F,Algérienne
14011499276,1985-06-08,M,Algérienne
14011299188,1993-08-12,M,Algérienne
14011298645,1994-06-23,M,Algérienne
14011097177,1992-03-29,M,Algérienne
14011499286,1984-12-25,M,Algérienne
14011298662,1993-05-18,F,Algérienne
14011298667,1994-01-08,M,Algérienne
14011298668,1992-11-26,F,Algérienne
14011298670,1992-07-25,M,Algérienne
14011298672,1993-12-06,M,Algérienne
14011298682,1993-09-27,M,Algérienne
14011298686,1994-09-13,M,Algérienne
14011298687,1993-01-19,M,Algérienne
14011298688,1992-10-27,M,Algérienne
14011298696,1994-03-09,F,Algérienne
14011298705,1992-12-16,F,Algérienne
14011298706,1992-09-13,M,Algérienne
14011298710,1993-10-30,M,Algérienne
14011298711,1994-01-01,F,Algérienne
14011298736,1994-04-12,F,Algérienne
14011097478,1992-05-29,F,Algérienne
14011097544,1990-10-29,M,Algérienne
14011298895,1993-06-15,F,Algérienne
14011298919,1993-06-13,F,Algérienne
14011298925,1994-04-25,M,Algérienne
14011298927,1994-02-25,F,Algérienne
14011298935,1994-05-15,F,Algérienne
14011298818,1991-08-10,M,Algérienne
14011298823,1993-01-08,M,Algérienne
14011298838,1993-10-28,F,Algérienne
14011298846,1992-04-28,F,BURUNDI
14011298763,1994-12-05,F,Algérienne
14011298764,1993-12-16,M,Algérienne
14011298765,1993-06-16,M,Algérienne
14011298787,1993-09-06,M,Algérienne
14011197808,1992-09-22,F,Algérienne
14011298955,1993-01-29,M,Algérienne
14011298962,1990-10-20,M,GUINEENNE
14011298964,1990-05-19,F,GUINEENNE
14011298977,1993-11-25,F,Algérienne
14011298979,1993-10-03,F,Algérienne
14011299010,1993-09-04,F,Algérienne
14011299024,1993-12-10,F,Algérienne
14011299032,1994-03-01,F,Algérienne
14011299038,1993-12-19,F,Algérienne
14011299110,1991-08-11,M,Algérienne
14011299116,1994-03-14,M,Algérienne
14011299118,1993-10-16,F,Algérienne
14011299122,1993-09-22,F,Algérienne
14011299136,1994-04-16,M,Algérienne
14011299174,1993-06-04,M,Algérienne
14011299180,1990-10-07,M,Malienne
14011198397,1992-07-03,F,Algérienne
14011198521,1993-03-19,F,Algérienne
14011197960,1992-03-20,F,Algérienne
14011197993,1993-08-06,F,Algérienne
